Subhead,Description,Canada,,USA,,Mexico,
,,,,,,,
4407.10,"Lumber, coniferous (softwood) 6 mm and thicker",4407.10.00,D,4407.10.00,D,4407.10.FA,A
,,,,,,4407.10.01,Cq
,,,,,,4407.10.02,Cq
,,,,,,4407.10.03,Cq
,,,,,,4407.10.99,C
,,,,,,,
4407.21,"Lumber, Meranti red (light & dark), Meranti Bakau, White Lauan",4407.21.00,D,4407.21.00,D,4407.21.01,B
,,,,,,4407.21.99,B
,,,,,,,
4407.22,"Lumber, Okoum?ÇÜ, Obeche, Sapelli, Sipo, Acajou d'Afrique, Mak",or  4407.22.,0,D    4407.22.,00 D,4407.22.,01 B
,,,,,,4407.22.99,B
,,,,,,,
4407.23,"Lumber, Baboen, Mahogany (Swietenia spp), Imbuia and Balsa",4407.23.00,D,4407.23.00,D,4407.23.01,C
,,,,,,4407.23.99,B
,,,,,,,
4407.91,"Lumber, Oak",4407.91.00,D,4407.91.00,D,4407.91.01,Cq
,,,,,,,
4407.92,"Lumber, Beech",4407.92.00,D,4407.92.00,D,4407.92.01,A
,,,,,,4407.92.99,B
,,,,,,,
4407.99,"Lumber, non-coniferous nes",4407.99.00,D,4407.99.00,D,4407.99.FA,B
,,,,,,4407.99.FB,B
,,,,,,,
,,,,,,4407.99.01,C
,,,,,,4407.99.02,C
,,,,,,4407.99.03,B
,,,,,,4407.99.99,Cq
,,,,,,,
4408.10,"Veneer, coniferous (softwood) less than 6 mm thick",4408.10.00,D,4408.10.00,D,4408.10.01,A
,,,,,,,
4408.20,"Veneer, tropical woods, less than 6 mm thick",4408.20.00,D,4408.20.00,D,4408.20.01,A
,,,,,,,
4408.90,"Veneer, non-coniferous nes, less than 6 mm thick",4408.90.00,D,4408.90.00,D,4408.90.99,A
,,,,,,,
4409.10,Wood (lumber) continuously shaped coniferous (softwood),4409.10.00,D,4409.10.10,D,4409.10.01,A
,,,,4409.10.20,A,4409.10.02,A
,,,,4409.10.40,A,4409.10.99,A
,,,,4409.10.45,D,,
,,,,4409.10.50,A,,
,,,,4409.10.60,A,,
,,,,4409.10.65,B,,
,,,,4409.10.90,D,,
,,,,,,,
4409.20,Wood (lumber) continuously shaped non-coniferous (hardwood),4409.20.11,A,4409.20.10,D,4409.20.01,A
,,4409.20.19,D,4409.20.25,D,4409.20.99,A
,,4409.20.90,D,4409.20.40,D,,
,,,,4409.20.50,A,,
,,,,4409.20.60,D,,
,,,,4409.20.65,A,,
,,,,4409.20.90,D,,
,,,,,,,
4410.10,Particle board of wood,4410.10.10,C,4410.10.00,A,4410.10.01,C
,,4410.10.91,C,,,,
,,4410.10.99,C,,,,
,,,,,,,
4410.90,Particle board of other ligneous materials,4410.90.10,C,4410.90.00,D,4410.90.01,C
,,4410.90.90,C,,,4410.90.02,C
,,,,,,4410.90.99,C
,,,,,,,
4411.11,Fibreboard >0.8 g/cm?? not worked or surface covered,4411.11.0,0 B,4411.11.0,12:00 AM,4411.11.0,1 B
,,,,,,,
4411.19,Fibreboard >0.8 g/cm?? nes,4411.19.0,0 B,4411.19.2,12:00 AM,4411.19.9,9 B
,,,,4411.19.30,D,,
,,,,4411.19.40,A,,
,,,,,,,
4411.21,Fibreboard >0.5 g/cm?? <0.8 g/cm?? not worked or surface cover,ed  4411.21.,0,BM   4411.21.,12:00 AM,4411.21.,01 B
,,,,,,,
4411.29,Fibreboard >0.5 g/cm?? <0.8 g/cm?? nes,4411.29.,0,BM   4411.29.,20 A,4411.29.,99 B
,,,,4411.29.30,D,,
,,,,4411.29.60,A,,
,,,,4411.29.90,A,,
,,,,,,,
4411.31,Fibreboard >0.35 g/cm?? <0.5 g/cm?? not worked or surface cove,re  4411.31.,0,BM   4411.31.,00 D,4411.31.,01 B
,,,,,,,
,,,,,,,
4411.39,Fibreboard >0.35 g/cm?? <0.5 g/cm?? nes,4411.39.,0,BM   4411.39.,00 D,4411.39.,99 B
,,,,,,,
4411.91,Fibreboard not worked or surface covered nes (0.35 g/cm?? &,4411.91.0,0 B,M   4411.91.0,0 D,4411.91.0,1 B
,,,,,,,
4411.99,Fibreboard nes (0.35 g/cm?? & less),4411.99.0,0 B,M   4411.99.0,0 D,4411.99.9,9 B
,,,,,,,
4412.11,"Plywood, at least 1 outer ply of tropical woods (ply's <6 mm)",4412.11.10,C,4412.11.10,A,4412.11.01,C
,,4412.11.90,C,4412.11.20,A,,
,,,,4412.11.50,A,,
,,,,,,,
4412.12,"Plywood, at least 1 outer ply of non-coniferous wood nes (ply'",4412.12.10,C,4412.12.10,A,4412.12.01,C
,,4412.12.90,C,4412.12.15,A,,
,,,,4412.12.20,A,,
,,,,4412.12.50,A,,
,,,,,,,
4412.19,"Plywood nes, at least 1 outer ply of coniferous wood (ply's <6",4412.19.10,CM,4412.19.10,A,4412.19.01,C
,,4412.19.90,CM,4412.19.30,A,4412.19.02,C
,,,,4412.19.40,A,4412.19.99,C
,,,,4412.19.50,C,,
,,,,,,,
4412.21,"Panels, 1 outer ply non-coniferous & 1 ply of particle board",4412.21.10,C,4412.21.00,A,4412.21.01,C
,,4412.21.90,C,,,,
,,,,,,,
4412.29,"Panels, 1 outer ply non-coniferous wood nes",4412.29.10,C,4412.29.10,A,4412.29.99,C
,,4412.29.90,C,4412.29.30,A,,
,,,,4412.29.40,A,,
,,,,4412.29.50,A,,
,,,,,,,
4412.91,"Panels, 1 outer ply coniferous wood, & 1 ply of particle board",4412.91.10,C,4412.91.00,A,4412.91.01,C
,,4412.91.90,C,,,,
,,,,,,,
4412.99,"Panels, 1 outer ply coniferous wood nes",4412.99.10,CM,4412.99.10,A,4412.99.99,C
,,4412.99.90,CM,4412.99.30,A,,
,,,,4412.99.40,A,,
,,,,4412.99.50,A,,
,,,,4412.99.90,A,,
,,,,,,,
4413.00,"Densified wood, in blocks, plates, strips or profile shapes",4413.00.00,A,4413.00.00,A,4413.00.01,A
,,,,,,4413.00.02,A
,,,,,,4413.00.99,A
,,,,,,,
4414.00,"Wooden frames for paintings, photographs mirrors or similar",4414.00.00,B,4414.00.00,A,4414.00.01,B
,,,,,,,
4415.10,"Cases, boxes, crates, drums & similar packings; cable-drums,",4415.10.10,B,4415.10.30,D,4415.10.01,B
,,4415.10.90,B,4415.10.60,D,4415.10.99,B
,,,,4415.10.90,A,,
,,,,,,,
4415.20,"Pallets, box pallets and other load boards, wooden",4415.20.00,C,4415.20.40,D,4415.20.01,C
,,,,4415.20.80,A,,
,,,,,,,
4416.00,"Casks, barrels etc (cooper's prods) & parts of wood, incl",4416.00.10,D,4416.00.30,A,4416.00.01,B
,,,,,,,
,,4416.00.90,B,4416.00.60,D,4416.00.02,B
,,,,4416.00.90,A,4416.00.03,B
,,,,,,4416.00.04,B
,,,,,,4416.00.05,B
,,,,,,4416.00.99,B
,,,,,,,
4417.00,"Tools, tool bodies & handles, brooms or brush bodies & handles",4417.00.11,D,4417.00.20,D,4417.00.01,B
,,4417.00.19,B,4417.00.40,D,4417.00.02,B
,,4417.00.20,B,4417.00.60,A,4417.00.99,B
,,4417.00.90,B,4417.00.80,A,,
,,,,,,,
4418.10,"Windows, French-windows and their frames, of wood",4418.10.10,B,4418.10.00,A,4418.10.01,B
,,4418.10.90,B,,,,
,,,,,,,
4418.20,"Doors and their frames and thresholds, of wood",4418.20.10,B,4418.20.00,A,4418.20.01,B
,,4418.20.20,A,,,,
,,,,,,,
,,,,,,,
4418.30,"Parquet panels, including tiles of wood",4418.30.00,A,4418.30.00,A,4418.30.01,B
,,,,,,,
4418.40,"Shuttering for concrete constructional work, of wood",4418.40.00,B,4418.40.00,A,4418.40.01,B
,,,,,,,
4418.50,"Shingles and shakes, of wood",4418.50.00,D,4418.50.00,D,4418.50.01,A
,,,,,,,
4418.90,Builder's joinery and carpentery of wood nes,4418.90.10,B,4418.90.20,D,4418.90.01,B
,,4418.90.90,C,4418.90.40,A,4418.90.99,C
,,,,,,,
4419.00,"Tableware and kitchenware, of wood",4419.00.00,B,4419.00.40,A,4419.00.01,B
,,,,4419.00.80,A,,
,,,,,,,
4420.10,Statuettes and other ornaments of wood,4420.10.00,B,4420.10.00,A,4420.10.01,B
,,,,,,,
4420.90,Wood marquetry and inlaid wood; caskets and cases for jeweller,4420.90.00,B,4420.90.20,A,4420.90.99,B
,,,,4420.90.40,A,,
,,,,4420.90.60,B,,
,,,,4420.90.80,A,,
,,,,,,,
4421.10,Clothes hangers of wood,4421.10.00,CM,4421.10.00,C,4421.10.01,C
,,,,,,,
4421.90,Wood articles nes,4421.90.10,D,4421.90.10,A,4421.90.01,C
,,4421.90.20,CM,4421.90.15,D,4421.90.02,C
,,4421.90.30,A,4421.90.20,C,4421.90.03,C
,,4421.90.40,CM,4421.90.30,A,4421.90.04,C
,,4421.90.50,CM,4421.90.40,C,4421.90.05,C
,,4421.90.60,A,4421.90.50,A,4421.90.06,C
,,4421.90.90,CM,4421.90.60,A,4421.90.99,C
,,,,4421.90.70,D,,
,,,,4421.90.80,C,,
,,,,4421.90.85,C,,
,,,,4421.90.88,D,,
,,,,4421.90.90,A,,
,,,,,,,
4501.10,"Natural cork, raw or simply prepared",4501.10.00,D,4501.10.00,D,4501.10.01,A
,,,,,,,
4501.90,"Waste cork; crushed, granulated or ground",4501.90.00,D,4501.90.20,D,4501.90.99,A
,,,,4501.90.40,A,,
,,,,,,,
4502.00,"Natural cork, debacked/roughly squared or in rectangular block",4502.00.00,D,4502.00.00,A,4502.00.01,A
,,,,,,,
4503.10,"Corks and stoppers, natural cork",4503.10.00,D,4503.10.20,A,4503.10.01,A
,,,,4503.10.30,A,,
,,,,4503.10.40,A,,
,,,,4503.10.60,A,,
,,,,,,,
4503.90,Natural cork articles nes,4503.90.00,D,4503.90.20,A,4503.90.01,A
,,,,4503.90.40,D,4503.90.99,A
,,,,4503.90.60,A,,
,,,,,,,
,,,,,,,
4504.10,"Blocks/plates/sheets/strip/tiles, solid cylinders, incl discs,",4504.10.00,D,4504.10.10,A,4504.10.01,B
,,,,4504.10.20,D,4504.10.02,B
,,,,4504.10.30,D,4504.10.03,B
,,,,4504.10.40,D,4504.10.99,B
,,,,4504.10.45,A,,
,,,,4504.10.47,A,,
,,,,4504.10.50,A,,
,,,,,,,
4504.90,"Articles of agglomerated cork nes, with or without binder",4504.90.00,D,4504.90.20,A,4504.90.99,A
,,,,4504.90.40,A,,
,,,,,,,
4601.10,Plaits and similar products of plaiting materials,4601.10.00,A,4601.10.00,A,4601.10.01,A
,,,,,,,
4601.20,"Mats, matting and screens of vegetable plaiting materials",4601.20.10,D,4601.20.20,A,4601.20.01,A
,,4601.20.90,A,4601.20.40,A,4601.20.99,A
,,,,4601.20.60,A,,
,,,,4601.20.80,A,,
,,,,4601.20.90,A,,
,,,,,,,
4601.91,"Products of vegetable plaiting materials other than mats,",4601.91.00,A,4601.91.20,A,4601.91.01,A
,,,,4601.91.40,A,,
,,,,,,,
4601.99,"Products of plaiting materials, nes",4601.99.00,A,4601.99.00,A,4601.99.99,A
,,,,,,,
4602.10,"Basketwork, wickerwork and other article made up from plaited",4602.10.10,A,4602.10.05,A,4602.10.01,A
,,4602.10.91,A,4602.10.11,A,,
,,4602.10.92,A,4602.10.12,A,,
,,4602.10.93,D,4602.10.13,A,,
,,4602.10.99,A,4602.10.19,A,,
,,,,4602.10.21,A,,
,,,,4602.10.22,A,,
,,,,4602.10.23,A,,
,,,,4602.10.25,A,,
,,,,4602.10.29,A,,
,,,,4602.10.40,A,,
,,,,4602.10.50,A,,
,,,,,,,
4602.90,"Basketwork, wickerwork and other article made up from other",4602.90.10,A,4602.90.00,A,4602.90.99,A
,,4602.90.90,A,,,,
,,,,,,,
4701.00,Mechanical wood pulp,4701.00.00,D,4701.00.00,D,4701.00.01,C
,,,,,,,
4702.00,"Chemical wood pulp, dissolving grades",4702.00.00,D,4702.00.00,D,4702.00.01,D
,,,,,,4702.00.02,D
,,,,,,4702.00.99,D
,,,,,,,
4703.11,"Chemical wood pulp, soda or sulphate, coniferous, unbleached",4703.11.00,D,4703.11.00,D,4703.11.01,D
,,,,,,4703.11.02,A
,,,,,,4703.11.99,A
,,,,,,,
4703.19,"Chemical wood pulp, soda or sulphate, non-coniferous,",4703.19.00,D,4703.19.00,D,4703.19.01,A
,,,,,,,
,,,,,,4703.19.02,A
,,,,,,,
4703.21,"Chemical wood pulp, soda or sulphate, coniferous, semi-bl or",4703.21.00,D,4703.21.00,D,4703.21.01,D
,,,,,,4703.21.02,A
,,,,,,4703.21.03,D
,,,,,,,
4703.29,"Chemical wood pulp, soda or sulphate, non-coniferous, semi-bl",4703.29.00,D,4703.29.00,D,4703.29.01,D
,,,,,,4703.29.02,D
,,,,,,,
4704.11,"Chemical wood pulp, sulphite, coniferous unbleached",4704.11.00,D,4704.11.00,D,4704.11.01,A
,,,,,,,
4704.19,"Chemical wood pulp, sulphite, nonconiferous, unbleached",4704.19.00,D,4704.19.00,D,4704.19.01,A
,,,,,,,
4704.21,"Chemical wood pulp, sulphite, coniferous semi-bleached or",4704.21.00,D,4704.21.00,D,4704.21.01,D
,,,,,,,
4704.29,"Chemical wood pulp, sulphite, nonconiferous, semi-bl or",4704.29.00,D,4704.29.00,D,4704.29.01,A
,,,,,,,
4705.00,Semi-chemical wood pulp,4705.00.00,D,4705.00.00,D,4705.00.01,C
,,,,,,,
4706.10,Cotton linters pulp,4706.10.00,D,4706.10.00,D,4706.10.01,A
,,,,,,,
4706.91,Mechanical pulps of other fibrous material (o/t cotton linters,4706.91.00,D,4706.91.00,D,4706.91.01,A
,,,,,,,
4706.92,Chemical pulps of other fibrous material (o/t cotton linters),4706.92.00,D,4706.92.00,D,4706.92.01,A
,,,,,,,
4706.93,Semi-chemical pulps of other fibrous material (o/t cotton,4706.93.00,D,4706.93.00,D,4706.93.01,A
,,,,,,,
4707.10,Waste and scrap of unbleached kraft or corrugated paper and,4707.10.00,D,4707.10.00,D,4707.10.01,D
,,,,,,,
4707.20,"Waste and scrap of paper/paperboard made of bl chem pulp, not",4707.20.00,D,4707.20.00,D,4707.20.01,D
,,,,,,,
4707.30,Waste and scrap of paper/paperboard made mainly of mechanical,4707.30.00,D,4707.30.00,D,4707.30.01,A
,,,,,,4707.30.99,D
,,,,,,,
4707.90,"Waste and scrap of paper or paperboard, nes (including unsorte",4707.90.00,D,4707.90.00,D,4707.90.01,D
,,,,,,,
4801.00,"Newsprint, in rolls or sheets",4801.00.00,D,4801.00.00,D,4801.00.01,Bp
,,,,,,4801.00.02,A
,,,,,,4801.00.03,B
,,,,,,4801.00.04,Bp
,,,,,,4801.00.99,Bp
,,,,,,,
4802.10,"Paper, hand-made, uncoated, in rolls or sheets",4802.10.00,A,4802.10.00,A,4802.10.01,A
,,,,,,,
4802.20,"Paper, sensitising base stock, in rolls or sheets, uncoated",4802.20.00,A,4802.20.00,D,4802.20.01,B
,,,,,,4802.20.02,A
,,,,,,4802.20.99,B
,,,,,,,
4802.30,"Paper, carbonising base, in rolls or sheets, uncoated",4802.30.00,A,4802.30.20,A,4802.30.01,B
,,,,4802.30.40,A,4802.30.02,A
,,,,,,,
,,,,,,,
4802.40,"Paper, wallpaper base, in rolls or sheets, uncoated",4802.40.00,D,4802.40.00,D,4802.40.01,A
,,,,,,4802.40.02,A
,,,,,,4802.40.99,B
,,,,,,,
4802.51,"Paper, fine, woodfree, in rolls or sheets, <40 g/mO, uncoated,",4802.51.11,A,4802.51.10,A,4802.51.01,A
,,4802.51.19,A,4802.51.40,A,4802.51.02,C
,,4802.51.90,A,4802.51.90,D,4802.51.03,B
,,,,,,4802.51.04,A
,,,,,,4802.51.05,D
,,,,,,4802.51.06,B
,,,,,,4802.51.07,C
,,,,,,4802.51.99,C
,,,,,,,
4802.52,"Paper, fine, woodfree, in rolls or sheets,  40 g/mO, ?ê150",4802.52.1,0 B,4802.52.1,12:00 AM,4802.52.0,1 Bp
,,4802.52.90,B,4802.52.15,A,4802.52.02,B
,,,,4802.52.20,A,4802.52.03,D
,,,,4802.52.40,A,4802.52.04,Bp
,,,,4802.52.90,D,4802.52.05,Bp
,,,,,,4802.52.99,Bp
,,,,,,,
4802.53,"Paper, fine, woodfree, in rolls or sheets, >150 g/mO, uncoated",4802.53.10,B,4802.53.10,A,4802.53.01,B
,,4802.53.90,B,4802.53.15,A,4802.53.02,B
,,,,4802.53.20,A,4802.53.03,B
,,,,4802.53.90,A,4802.53.04,C
,,,,,,4802.53.99,C
,,,,,,,
4802.60,"Paper, fine, woodcontaining, in rolls or sheets, uncoated, nes",4802.60.11,D,4802.60.10,A,4802.60.01,B
,,4802.60.19,A,4802.60.20,A,4802.60.02,A
,,4802.60.90,A,4802.60.90,D,4802.60.99,A
,,,,,,,
4803.00,"Paper, household/sanitary, rolls of a width >36 cm, sheets one",4803.00.10,D,4803.00.20,A,4803.00.01,Bp
,,4803.00.20,BM,4803.00.40,D,4803.00.02,C
,,4803.00.90,A,,,4803.00.03,A
,,,,,,4803.00.99,B
,,,,,,,
4804.11,"Paper, Kraftliner, in rolls, unbleached, uncoated",4804.11.00,B,4804.11.00,D,4804.11.01,Bp
,,,,,,,
4804.19,"Paper, Kraftliner, in rolls, o/t unbleached, uncoated",4804.19.00,B,4804.19.00,D,4804.19.01,B
,,,,,,4804.19.02,Bp
,,,,,,4804.19.99,B
,,,,,,,
4804.21,"Paper, sack kraft, in rolls, unbleached, uncoated",4804.21.10,D,4804.21.00,D,4804.21.01,C
,,4804.21.90,C,,,,
,,,,,,,
4804.29,"Paper, sack kraft, in rolls, o/t unbl, uncoated",4804.29.00,C,4804.29.00,D,4804.29.99,C
,,,,,,,
4804.31,"Paper, kraft, rolls or sheets, ?ê150g/mO, unbleached, uncoated",",  4804.31.1",12:00 AM,4804.31.1,12:00 AM,4804.31.0,1 B
,,4804.31.21,D,4804.31.20,A,4804.31.02,B
,,4804.31.29,B,4804.31.40,D,4804.31.03,A
,,4804.31.91,A,4804.31.60,A,4804.31.99,B
,,4804.31.99,B,,,,
,,,,,,,
,,,,,,,
4804.39,"Paper, kraft, rolls or sheets, ?ê150g/mO, uncoated, nes",4804.39.1,0 B,4804.39.2,12:00 AM,4804.39.0,1 B
,,4804.39.90,B,4804.39.40,D,4804.39.99,B
,,,,4804.39.60,A,,
,,,,,,,
4804.41,"Paper, kraft, rolls or sheets, >150g/mO, <225 g/mO, unbleached",4804.41.11,D,4804.41.20,D,4804.41.01,Bp
,,4804.41.19,B,4804.41.40,A,,
,,4804.41.21,A,,,,
,,4804.41.29,B,,,,
,,4804.41.30,D,,,,
,,4804.41.90,B,,,,
,,,,,,,
4804.42,"Paper, kraft, rolls/sheets, >150g/mO but <225 g/mO, bl, >95%",4804.42.11,A,4804.42.00,D,4804.42.01,A
,,4804.42.19,A,,,,
,,4804.42.90,A,,,,
,,,,,,,
4804.49,"Paper, kraft, rolls or sheets, >150g/mO, <225 g/mO, uncoated,",4804.49.10,B,4804.49.00,A,4804.49.01,B
,,4804.49.90,B,,,4804.49.02,B
,,,,,,4804.49.99,Bp
,,,,,,,
4804.51,"Paper, kraft, rolls or sheets,  225g/mO, unbleached, uncoated,",4804.51.10,A,4804.51.00,D,4804.51.01,A
,,4804.51.90,A,,,4804.51.99,B
,,,,,,,
4804.52,"Paper, kraft, rolls or sheets,  225g/mO, bl, >95% chemical",4804.52.10,D,4804.52.00,D,4804.52.01,A
,,4804.52.90,A,,,4804.52.99,A
,,,,,,,
4804.59,"Paper, kraft, rolls or sheets,  225g/mO, uncoated, nes",4804.59.00,A,4804.59.00,A,4804.59.01,A
,,,,,,4804.59.02,A
,,,,,,4804.59.99,A
,,,,,,,
4805.10,"Paper, fluting (corrugating medium), in rolls, semi-chemical,",4805.10.00,B,4805.10.00,A,4805.10.01,C
,,,,,,,
4805.21,"Paper, multi-ply, each layer bleached, in rolls or sheets,",4805.21.00,B,4805.21.00,D,4805.21.01,B
,,,,,,,
4805.22,"Paper, multi-ply, with only one layer bleached, rolls or",4805.22.00,C,4805.22.00,D,4805.22.01,C
,,,,,,,
4805.23,"Paper, multi-ply,  3 layers, only 2 outer layers bl,",4805.23.00,B,4805.23.00,D,4805.23.01,B
,,,,,,,
4805.29,"Paper, multi-ply, rolls/sheets, uncoated, nes",4805.29.10,D,4805.29.00,D,4805.29.99,C
,,4805.29.20,C,,,,
,,4805.29.90,C,,,,
,,,,,,,
4805.30,"Paper, wrapping, sulphite, rolls/sheets, uncoated",4805.30.10,D,4805.30.00,A,4805.30.01,A
,,4805.30.90,A,,,,
,,,,,,,
4805.40,"Paper, filter, in rolls or sheets, uncoated",4805.40.10,A,4805.40.00,A,4805.40.01,A
,,4805.40.20,A,,,4805.40.99,A
,,4805.40.90,A,,,,
,,,,,,,
4805.50,"Paper, felt, in rolls or sheets, uncoated",4805.50.10,D,4805.50.00,D,4805.50.01,A
,,4805.50.20,A,,,,
,,,,,,,
,,4805.50.90,A,,,,
,,,,,,,
4805.60,"Paper, in rolls or sheets, weighing 150 g/mO or less, uncoated",4805.60.10,A,4805.60.20,A,4805.60.99,C
,,4805.60.21,D,4805.60.30,D,,
,,4805.60.29,C,4805.60.40,D,,
,,4805.60.30,B,4805.60.50,A,,
,,4805.60.91,C,4805.60.70,D,,
,,4805.60.99,C,4805.60.90,A,,
,,,,,,,
4805.70,"Paper, in rolls or sheets, weighing >150 g/mO, <225 g/mO,",4805.70.10,D,4805.70.20,A,4805.70.01,C
,,4805.70.20,A,4805.70.40,D,,
,,4805.70.30,D,,,,
,,4805.70.41,D,,,,
,,4805.70.49,C,,,,
,,4805.70.50,C,,,,
,,4805.70.90,C,,,,
,,,,,,,
4805.80,"Paper, in rolls or sheets, weighing 225 g/mO or more, uncoated",4805.80.10,D,4805.80.20,A,4805.80.01,C
,,4805.80.20,A,4805.80.40,D,,
,,4805.80.31,D,,,,
,,4805.80.39,C,,,,
,,4805.80.91,A,,,,
,,4805.80.99,C,,,,
,,,,,,,
4806.10,"Paper, vegetable parchment, in rolls or sheets",4806.10.00,A,4806.10.00,D,4806.10.01,A
,,,,,,,
4806.20,"Paper, greaseproof, in rolls or sheets",4806.20.00,C,4806.20.00,D,4806.20.01,C
,,,,,,,
4806.30,"Paper, tracing, in rolls or sheets",4806.30.10,A,4806.30.00,D,4806.30.01,A
,,4806.30.90,A,,,,
,,,,,,,
4806.40,"Paper, glassine, other glazed transparent or translucent, in",4806.40.00,B,4806.40.00,D,4806.40.01,B
,,,,,,,
4807.10,"Paper, laminated internally with bitumen tar/asphalt,",4807.10.00,A,4807.10.00,D,4807.10.01,A
,,,,,,,
4807.91,"Paper, straw, in rolls or sheets, not coated",4807.91.00,A,4807.91.00,A,4807.91.01,A
,,,,,,,
4807.99,"Paper, composite, in rolls or sheets, nes, not coated",4807.99.10,D,4807.99.20,A,4807.99.99,C
,,4807.99.90,C,4807.99.40,D,,
,,,,,,,
4808.10,"Paper, corrugated, in rolls or sheets",4808.10.00,B,4808.10.00,A,4808.10.01,Bp
,,,,,,,
4808.20,"Paper, sack kraft, creped or crinkled, in rolls or sheets",4808.20.10,D,4808.20.00,D,4808.20.01,B
,,4808.20.90,B,,,,
,,,,,,,
4808.30,"Paper, kraft, creped or crinkled, in rolls or sheets, nes",4808.30.10,D,4808.30.00,D,4808.30.01,A
,,4808.30.90,A,,,4808.30.02,B
,,,,,,4808.30.99,B
,,,,,,,
4808.90,"Paper, creped, crinkled, embossed or perforated, in rolls or",4808.90.10,D,4808.90.20,A,4808.90.01,A
,,4808.90.90,A,4808.90.40,A,4808.90.02,A
,,,,,,,
,,,,4808.90.60,A,4808.90.99,A
,,,,,,,
4809.10,"Paper, carbon or similar copying, rolls width >36 cm, sheets",4809.10.00,C,4809.10.20,A,4809.10.01,C
,,,,4809.10.40,D,4809.10.99,C
,,,,,,,
4809.20,"Paper, self-copy, in rolls of a width > 36 cm, sheets at least",4809.20.10,B,4809.20.20,A,4809.20.01,Bp
,,4809.20.90,B,4809.20.40,D,4809.20.99,Bp
,,,,,,,
4809.90,"Paper, copying/transfer, rolls of a width >36 cm, sheets one",4809.90.10,D,4809.90.20,A,4809.90.01,C
,,4809.90.90,C,4809.90.40,A,4809.90.99,C
,,,,4809.90.60,D,,
,,,,4809.90.70,D,,
,,,,4809.90.80,A,,
,,,,,,,
4810.11,"Paper, fine, woodfree, in rolls or sheets, ?ê150 g/mO, clay",4810.11.1,1 D,4810.11.2,12:00 AM,4810.11.0,1 B
,,4810.11.12,B,4810.11.30,A,4810.11.02,B
,,4810.11.19,B,4810.11.90,A,4810.11.03,B
,,4810.11.20,B,,,4810.11.04,B
,,,,,,4810.11.05,B
,,,,,,4810.11.06,B
,,,,,,4810.11.99,Bp
,,,,,,,
4810.12,"Paper, fine, woodfree, in rolls or sheets, >150 g/mO, clay",4810.12.11,A,4810.12.00,A,4810.12.01,A
,,4810.12.19,A,,,4810.12.02,A
,,4810.12.20,A,,,4810.12.03,A
,,,,,,4810.12.04,A
,,,,,,4810.12.05,A
,,,,,,4810.12.99,Bp
,,,,,,,
4810.21,"Paper, fine, light weight coated, in rolls or sheets",4810.21.10,A,4810.21.00,A,4810.21.01,Bp
,,4810.21.90,B,,,4810.21.99,Bp
,,,,,,,
4810.29,"Paper, fine, woodcontaining, in rolls or sheets, clay coated,",4810.29.10,A,4810.29.00,A,4810.29.01,Bp
,,4810.29.21,B,,,4810.29.02,B
,,4810.29.29,B,,,4810.29.03,B
,,4810.29.30,B,,,4810.29.04,B
,,,,,,4810.29.05,B
,,,,,,4810.29.06,B
,,,,,,4810.29.99,B
,,,,,,,
4810.31,"Paper, kraft, in rolls/sheets, bl, >95% chemical pulp, ?ê150",4810.31.1,12:00 AM,4810.31.0,0 D,4810.31.0,1 B
,,4810.31.90,A,,,4810.31.02,A
,,,,,,4810.31.03,A
,,,,,,4810.31.99,B
,,,,,,,
4810.32,"Paper, kraft, in rolls/sheets, bl, >95% chemical pulp, >150",4810.32.10,B,4810.32.00,D,4810.32.01,B
,,4810.32.90,B,,,4810.32.02,B
,,,,,,4810.32.99,B
,,,,,,,
4810.39,"Paper, kraft, in rolls or sheets, clay coated, nes",4810.39.00,B,4810.39.20,D,4810.39.01,B
,,,,4810.39.40,A,4810.39.02,B
,,,,,,,
,,,,,,4810.39.03,B
,,,,,,4810.39.99,B
,,,,,,,
4810.91,"Paper, multi-ply, in rolls or sheets, clay coated, nes",4810.91.00,B,4810.91.20,D,4810.91.01,B
,,,,4810.91.40,A,,
,,,,,,,
4810.99,"Paper, in rolls or sheets, clay coated, nes",4810.99.00,A,4810.99.00,A,4810.99.01,A
,,,,,,4810.99.02,A
,,,,,,4810.99.03,A
,,,,,,4810.99.04,A
,,,,,,4810.99.99,A
,,,,,,,
4811.10,"Paper, tarred, bituminised or asphalted, in rolls or sheets,",4811.10.00,A,4811.10.00,D,4811.10.01,A
,,,,,,4811.10.02,A
,,,,,,4811.10.03,A
,,,,,,4811.10.99,A
,,,,,,,
4811.21,"Paper, self-adhesive, in rolls or sheets, nes",4811.21.00,C,4811.21.00,A,4811.21.01,C
,,,,,,,
4811.29,"Paper, gummed or adhesive, in rolls or sheets, nes",4811.29.00,B,4811.29.00,D,4811.29.01,B
,,,,,,,
4811.31,"Paper, in rolls or sheets, bl, >150g/mO, ctd, impreg or cov",4811.31.10,A,4811.31.20,D,4811.31.01,A
,,4811.31.90,A,4811.31.40,A,4811.31.02,A
,,,,,,4811.31.03,A
,,,,,,4811.31.04,Bp
,,,,,,4811.31.05,A
,,,,,,4811.31.99,B
,,,,,,,
4811.39,"Paper, in rolls or sheets, coated/impregnated or covered with",4811.39.00,A,4811.39.20,A,4811.39.01,B
,,,,4811.39.40,D,4811.39.02,A
,,,,,,4811.39.03,Bp
,,,,,,4811.39.04,Bp
,,,,,,4811.39.05,A
,,,,,,4811.39.99,B
